,Movies,Year,Certificate,IMDB,Metascore,Votes,Gross,Runtime,Genre,Description
4736,Simmba,2018,Not Rated,5.8,-1.1,1341716,5075611,158,"Action, Comedy, Crime","Simmba, a Corrupt Officer, enjoys all the perks of being an immoral and unethical police officer until a life-changing event forces him to choose the righteous path."
4737,Muslum,2018,Not Certified,7.7,-1.1,1341716,-1,136,"Biography, Drama, Music","A biopic about turkish vocal artist Müslüm Gürses, drama, childhood, his life."
4738,Assassination Nation,2018,R,5.9,56.0,1341716,1959204,108,"Action, Comedy, Crime","After a malicious data hack exposes the secrets of the perpetually American town of Salem, chaos descends and four girls must fight to survive, while coping with the hack themselves."
4739,Bharath Ane Nenu,2018,Not Rated,7.7,-1.1,1341716,3550000,173,"Action, Drama","Bharat, an young graduate, becomes the C.M of Andhra Pradesh (pre-div) after his father demise without any political knowledge, faces challenges in the process of reform the society."
4740,The Tale,2018,TV-MA,7.3,90.0,1341716,-1,114,"Biography, Drama, Mystery",A woman filming a documentary on childhood rape victims starts to question the nature of her childhood relationship with her riding instructor and running coach.
4741,The Command,2018,PG-13,6.6,55.0,1341716,-1,117,"Action, Adventure, Drama","The film follows the 2000 K-141 Kursk submarine disaster and the governmental negligence that followed. As the sailors fight for survival, their families desperately battle political obstacles and impossible odds to save them."
4742,Happy as Lazzaro,2018,PG-13,7.5,87.0,1341716,-1,128,"Drama, Fantasy",An unceasingly kind Italian peasant and his family are blatantly exploited by a tobacco baroness.
4743,Raid,2018,Not Rated,7.4,-1.1,1341716,1010385,122,"Action, Crime, Drama",A fearless income tax officer raids the mansion of the most powerful man in Lucknow after someone mysteriously draws his attention towards the evidence.
4744,Alex Strangelove,2018,TV-MA,6.3,62.0,1341716,-1,99,"Comedy, Drama, Romance","Alex, high school class president, nerd and a straight A student, has been dating Claire a long time. They decide to sleep together but then he meets a gay guy and he's confused."
4745,Thunder Road,2018,Not Certified,7.1,79.0,1341716,-1,92,"Comedy, Drama",A police officer faces a personal meltdown following a divorce and the death of his mother.
4746,Night Hunter,2018,R,5.9,31.0,1341716,-1,98,Thriller,"A weathered Lieutenant, his police force, and a local vigilante are all caught up in a dangerous scheme involving a recently arrested, troubled man who's linked to years of female abductions and murders."
4747,Forever My Girl,2018,PG,6.7,36.0,1341716,16376066,108,"Drama, Music, Romance",After being gone for a decade a country star returns home to the love he left behind.
4748,Kin,2018,PG-13,5.8,35.0,1341716,5718096,102,"Action, Drama, Sci-Fi","Chased by a vengeful criminal, the feds and a gang of otherworldly soldiers, an ex-con and his adopted teenage brother go on the run with a weapon of mysterious origin as their only protection."
4749,Look Away,2018,TV-MA,5.9,-1.1,1341716,-1,103,"Drama, Fantasy, Horror","Maria, an alienated high-school student, has her life turned upside down when she switches places with her sinister mirror image."
4750,Joker,2019,R,8.5,59.0,1341716,335451311,122,"Crime, Drama, Thriller","In Gotham City, mentally troubled comedian Arthur Fleck is disregarded and mistreated by society. He then embarks on a downward spiral of revolution and bloody crime. This path brings him face-to-face with his alter-ego: the Joker."
4751,Avengers: Endgame,2019,PG-13,8.4,78.0,1341716,858373000,181,"Action, Adventure, Drama","After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe."
4752,Parasite,2019,R,8.6,96.0,1341716,53367844,132,"Comedy, Drama, Thriller",Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.
4753,Once Upon a Time... In Hollywood,2019,R,7.6,83.0,1341716,142502728,161,"Comedy, Drama",A faded television actor and his stunt double strive to achieve fame and success in the final years of Hollywood's Golden Age in 1969 Los Angeles.
4754,Knives Out,2019,PG-13,7.9,82.0,1341716,165359751,130,"Comedy, Crime, Drama","A detective investigates the death of a patriarch of an eccentric, combative family."
4755,Captain Marvel,2019,PG-13,6.9,64.0,1341716,426829839,123,"Action, Adventure, Sci-Fi",Carol Danvers becomes one of the universe's most powerful heroes when Earth is caught in the middle of a galactic war between two alien races.
4756,1917,2019,R,8.3,78.0,1341716,159227644,119,"Drama, Thriller, War","April 6th, 1917. As a regiment assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap."
4757,Star Wars: Episode IX - The Rise of Skywalker,2019,PG-13,6.6,53.0,1341716,515202542,141,"Action, Adventure, Fantasy","The surviving members of the resistance face the First Order once again, and the legendary conflict between the Jedi and the Sith reaches its peak bringing the Skywalker saga to its end."
4758,The Irishman,2019,R,7.9,94.0,1341716,7000000,209,"Biography, Crime, Drama","An old man recalls his time painting houses for his friend, Jimmy Hoffa, through the 1950-70s."
